player,date,minutes,distance_m,explosive_distance_m,abs_hsr_m,abs_hsr_count,distance_abs_m,distance_rel_m,sprints_abs_count,sprints_rel_count,accelerations,decelerations,distance_acceleration,distance_deceleration,player_load,player_load_horizontal,player_load_vertical,player_load_anteroposterior,player_load_mediolateral,energy_expenditure,hmld_m,hmld_count,dsl,mechanical_actions,high_mechanical_actions,locomotor_load,high_speed_distance,very_high_speed_distance,high_speed_actions,high_accelerations,very_high_accelerations,high_decelerations,very_high_decelerations,avg_speed_kmh,avg_heart_rate,avg_hr_percent,metabolic_power,metabolic_power_avg,player_load_min,distance_min,hsr_min,accelerations_min,decelerations_min,sprints_min,high_speed_distance_min,very_high_speed_distance_min,high_accelerations_min,very_high_accelerations_min,high_decelerations_min,very_high_decelerations_min,energy_min,hmld_min,hsr_ratio,high_speed_ratio,sprint_ratio,hmld_ratio,rpe_general,rpe_peripheral,wellness_fatigue,wellness_sleep,wellness_doms,wellness_stress,wellness_mood,max_speed_kmh,max_acceleration,max_deceleration,max_heart_rate,team,position,sport,week_calendar,week_team,week_match_day,session,type_session,group,match_day
ALEX SUAREZ,2022-01-08,86.41650000000001,6193.00769096999,741.811164640068,542.378642030798,18.0,336.93144154536,0.0,11.0,0.0,2841.0,2845.0,391.072159597321,308.200255731114,104.379952787036,67.8420278496101,68.3151104161346,46.5021251975968,39.1897115448346,520.159337747082,1316.58601180849,148.0,390.325760371787,5697.0,198.0,7072.317774546148,688.676956176758,459.137115478516,39.0,39.0,0.0,159.0,17.0,5.48036675412204,0.0,0.0,16689.4178144064,8.2299312099941,1.207870635666059,71.66464380031579,6.276331973995683,32.87566610543125,32.92195356210908,0.12729050586404214,7.969276193513483,5.313072335474313,0.4513027026088767,0.0,1.839926402943882,0.19672169088079242,6.019213202884656,15.235354496056768,8.757919723265305,11.12023415021616,5.440513856242079,21.259234244585244,,,,,,,,27.8868000984192,4.79265975952148,-5.4544825553894,0.0,UD Las Palmas,DEF CENTRAL,,0.0,0.0,0.0,,Tactical,Collective,
Alberto Moleiro,2022-01-08,86.41666666666667,7924.07094754396,964.993903281288,618.301104653924,15.0,492.450748780964,105.836049385037,10.0,3.0,2771.0,2761.0,460.284929959161,298.625787446753,131.40885647404,84.0891460492773,87.0886115292812,55.0380506870117,51.7760262260127,779.973386936763,1487.19467176123,199.0,250.357027931778,5542.0,267.0,9034.822800978847,749.917190551758,548.1233825683601,32.0,54.0,4.0,213.0,6.0,6.33835826828432,0.0,0.0,20270.5399440544,9.3164438606904,1.5206425050033556,91.69609582500242,7.154882599659679,32.0655737704918,31.949855351976854,0.11571841851494695,8.677923130782156,6.342797098187387,0.6248794599807136,0.04628736740597878,2.46480231436837,0.06943105110896818,9.0257286820069,17.209581544006518,7.8028214127179725,9.463786928664394,6.214618117895544,18.768063557308018,,,,,,,,30.0570001602173,5.14836692810059,-5.81676340103149,0.0,UD Las Palmas,MC,,0.0,0.0,0.0,,Tactical,Collective,
Alvaro Lemos,2022-01-08,86.41650000000001,5737.22124854391,662.106880744874,590.716945839426,15.0,121.586717318835,0.0,3.0,0.0,3087.0,3060.0,246.273705365231,264.040386101322,96.3859668901563,62.8615297960227,63.537020292957,42.7238225000876,36.6926035820694,545.29703982295,1359.3201741421,129.0,567.711940412663,6150.0,177.0,6449.524911702171,815.7054748535156,398.8634033203126,55.0,40.0,0.0,137.0,11.0,5.48329869278381,0.0,0.0,15227.5126376258,8.24830950527085,1.1153653166948012,66.39034499828053,6.835696259851138,35.72234469111801,35.40990435854263,0.03471559250837513,9.439232957288429,4.615593125390551,0.4628745667783351,0.0,1.5853453912157978,0.12729050586404214,6.3101032768389125,15.72986841797689,10.296220421852272,14.217779644815673,2.1192614342647733,23.693005991133624,,,,,,,,31.5359996795654,3.93572807312012,-5.68788719177246,0.0,UD Las Palmas,DEF LATERAL,,0.0,0.0,0.0,,Tactical,Collective,
COCO BASILIO,2022-01-08,86.41650000000001,6029.24850948234,790.566566930444,477.502978083243,15.0,334.690527097408,0.0,10.0,0.0,2766.0,2770.0,582.579900795903,332.906065754722,96.118965636238,60.4543178140842,64.8539711446829,41.0139058714271,35.8219119371623,523.206325563707,1203.56763781393,155.0,149.323233345226,5546.0,273.0,6841.442014662991,639.901916503906,429.56005859375,39.0,86.0,2.0,187.0,30.0,5.34793137920946,0.0,0.0,16743.0623703414,8.30289456807993,1.1122756144513835,69.76964479563901,5.525599602891148,32.00777629272187,32.0540637493997,0.11571864169458378,7.404858059559296,4.970810650671456,0.9951803185734205,0.023143728338916755,2.1639385996887164,0.3471559250837513,6.0544725320246355,13.927521223538674,7.919776027348399,10.613294766296619,5.5511151443008595,19.962150107447908,,,,,,,,26.8913998603821,5.13998317718506,-5.99596786499023,0.0,UD Las Palmas,DEF CENTRAL,,0.0,0.0,0.0,,Tactical,Collective,
ERIC CURBELO,2022-01-08,86.41666666666667,6058.16509555247,725.656054863035,475.543838291622,13.0,352.556143216752,0.0,10.0,0.0,2691.0,2717.0,404.194648517366,226.71569489446,88.9404694076452,56.5445801364854,59.7960597376987,39.867778935707,31.6816113166708,506.929919860365,1083.22957758991,136.0,248.334011344843,5418.0,230.0,6886.265077060844,574.0526428222661,419.414016723633,29.0,60.0,2.0,170.0,15.0,5.16681601102173,0.0,0.0,16446.4077272554,7.88977353910826,1.0292050461829723,70.10412839597844,5.502918090163417,31.139826422372227,31.440694310511088,0.11571841851494695,6.642846397171835,4.8533926718260325,0.6943105110896818,0.02314368370298939,1.9672131147540983,0.17357762777242045,5.866112862415023,12.53496136073184,7.8496348447277695,9.475685026208678,5.819520228585003,17.880489562510437,,,,,,,,27.4800001144408,5.3213005065918,-7.18948221206665,0.0,UD Las Palmas,DEF CENTRAL,,0.0,0.0,0.0,,Tactical,Collective,
Enzo Loiodice,2022-01-08,86.41666666666667,7164.15438963586,868.719795998446,566.856159315783,14.0,399.686608420651,0.0,11.0,0.0,2775.0,2769.0,324.150677480984,304.915379086241,142.122159447971,95.2264598365789,90.5821816711431,59.2445446314553,62.1592371644737,650.251285859043,1237.04605824068,166.0,579.325573876548,5555.0,279.0,8130.697157372294,648.621292114258,478.334060668945,29.0,46.0,0.0,233.0,20.0,5.68749088746783,0.0,0.0,19094.4868777671,8.41920399300765,1.6446151527248332,82.90246159655769,6.559569828147922,32.11186113789778,32.04243008678881,0.12729026036644164,7.505743013858337,5.535206102244301,0.532304725168756,0.0,2.696239151398264,0.2314368370298939,7.524605043691915,14.314901348976045,7.912394519803128,9.053703435713174,5.578978155452151,17.267160797515373,,,,,,,,26.6447999954222,4.79091358184814,-5.77422142028809,0.0,UD Las Palmas,MC,,0.0,0.0,0.0,,Tactical,Collective,
Fabio GLZ,2022-01-08,86.41666666666667,6005.3992448544,854.39111448394,574.727112406434,13.0,450.758701807531,0.0,11.0,0.0,2839.0,2861.0,357.000376459786,292.55220114896,106.962418007725,67.7501783784657,72.4688289340775,45.4047047109962,40.6496258220016,543.519726030213,1419.36587400364,159.0,381.410104834877,5711.0,229.0,7030.885059068365,723.468078613281,503.434387207031,46.0,49.0,1.0,180.0,9.0,6.12522281376811,0.0,0.0,16305.3046712245,9.34016856995717,1.2377521852388622,69.4935303165408,6.65065125253347,32.85245901639344,33.107039537126326,0.12729026036644164,8.371858190317619,5.825663111363907,0.5670202507232401,0.011571841851494695,2.0829315332690452,0.10414657666345226,6.289524312789349,16.424677423378668,9.570173255323146,12.046960561917167,7.505890673193029,23.634829528108288,,,,,,,,28.3206001281738,5.06992435455322,-5.60087537765503,0.0,UD Las Palmas,MC,,0.0,0.0,0.0,,Tactical,Collective,
Jonathan Viera,2022-01-08,86.41650000000001,5069.59843796314,476.560196797485,0.0,0.0,0.0,0.0,0.0,0.0,2494.0,2493.0,122.315105537609,234.113551115758,247.649663124267,183.93085079128,135.430539474477,113.65741719665,115.412044854171,346.685987722451,490.428623295973,98.0,4989.92852497325,4987.0,148.0,5069.59843796314,40.60794770717624,2.30385529994965,10.0,26.0,0.0,122.0,6.0,4.51894033291988,0.0,0.0,12316.3880609461,6.65237391721529,2.8657682632861428,58.66470451780782,0.0,28.86022923862919,28.848657374459734,0.0,0.46990965506791216,0.026659900597104137,0.3008684684059178,0.0,1.411767428673922,0.06943118501675026,4.011803159378718,5.67517341359547,0.0,0.8010091569203589,0.0,9.673914596932399,,,,,,,,25.3206001281738,4.55584573745728,-7.83375024795532,0.0,UD Las Palmas,MC,,0.0,0.0,0.0,,Tactical,Collective,
Marc Cardona,2022-01-08,86.41650000000001,6874.18063376846,851.33523198374,581.92367697908,14.0,429.482457777223,581.92367697908,10.0,14.0,2727.0,2726.0,443.214916209537,210.04374614696,110.41880736465,71.288255368939,72.83267699494,47.1438093363238,43.3008569236309,655.310966660448,1378.74428597233,172.0,333.054090692992,5463.0,253.0,7885.586768524763,710.0822601318359,531.108535766602,37.0,56.0,0.0,197.0,14.0,5.93390242957539,0.0,0.0,18527.198217395,8.91097423986917,1.27775144057732,79.54708457028993,6.733941746993687,31.556473590112994,31.544901725943536,0.11571864169458378,8.216975463387614,6.145915835131045,0.6480243934896691,0.0,2.2796572413833003,0.16200609837241728,7.583169494951171,15.95464160168868,8.465353297823752,10.329700337574128,6.247762179356328,20.05685272801008,,,,,,,,27.2400000572204,4.55583333969116,-5.97119522094727,0.0,UD Las Palmas,DELANTERO,,0.0,0.0,0.0,,Tactical,Collective,
Omenuke  Mfulu,2022-01-08,86.41666666666667,6221.40535357939,648.493805642415,565.367065534662,14.0,282.578485193878,0.0,7.0,0.0,2888.0,2910.0,305.339922108139,151.007959521903,101.482698342461,64.4386587478231,68.0336124504094,42.4961922505689,39.3962132899133,546.972558057653,1155.10777852316,142.0,216.333878474384,5805.0,185.0,7069.35090430793,682.726852416992,472.005920410156,37.0,40.0,0.0,145.0,6.0,5.42243129328124,0.0,0.0,16304.1850214592,7.95822158297464,1.1743417358819017,71.99311884566315,6.542338270410745,33.41947926711668,33.674059787849565,0.08100289296046287,7.90040716393819,5.461977863955518,0.4628736740597878,0.0,1.6779170684667308,0.06943105110896818,6.329479938950661,13.366724534501369,9.087449433099334,10.973836514674222,4.542036230307688,18.56666963290837,,,,,,,,26.0525997161864,4.6883544921875,-5.9135479927063,0.0,UD Las Palmas,MC,,0.0,0.0,0.0,,Tactical,Collective,
